Duration,Franchise,Cluster
81,11.88,16
21,83.16,3
84,11.88,16
15,29.7,1
55,41.58,5
23,41.58,18
186,41.58,7
71,53.46,5
34,10.64,4
115,71.28,17
19,41.58,18
23,89.1,3
92,17.82,0
34,53.46,18
100,71.28,17
15,17.82,11
14,28.5,1
8,41.58,18
230,41.58,7
73,35.64,15
128,23.76,0
134,23.76,0
30,29.7,1
181,59.4,7
23,11.88,4
76,14.44,15
73,41.58,5
45,47.52,5
27,11.88,4
139,53.46,12
71,65.34,5
14,17.82,11
193,47.52,7
70,29.7,15
214,11.88,6
44,11.88,16
112,23.76,0
11,5.94,11
16,11.88,4
87,53.46,5
10,5.94,11
8,9.57,11
19,9.57,4
191,41.58,7
80,41.58,9
61,35.64,15
170,35.64,8
28,77.22,10
31,23.76,1
32,23.76,1
36,29.7,15
101,89.1,17
37,47.52,18
80,53.46,5
54,65.34,5
95,11.88,16
21,27.36,1
130,17.82,0
52,53.46,5
100,47.52,9
153,53.46,12
148,35.64,8
27,65.34,10
71,41.58,5
108,53.46,9
51,47.52,5
70,41.58,5
22,12.54,4
38,60.04,10
17,32.68,1
11,65.34,3
51,11.88,16
11,41.58,18
101,118.8,13
16,5.94,4
42,35.64,15
3,5.94,11
6,9.57,11
43,9.57,16
162,53.46,8
54,29.7,15
70,23.76,15
73,23.76,15
71,23.76,15
25,35.64,1
45,5.94,16
11,29.7,1
84,55.86,5
69,53.46,5
21,11.88,4
206,17.82,14
12,65.34,3
87,29.7,9
72,23.76,15
130,29.7,8
94,59.4,5
10,29.7,1
26,28.5,1
111,44.84,9
82,29.7,9
39,41.58,15
11,59.4,3
43,23.76,15
110,41.58,9
20,65.34,3
64,35.64,15
12,35.64,1
14,59.4,3
33,47.52,18
3,11.02,11
131,9.57,16
76,28.5,15
19,32.68,1
42,23.76,15
59,41.58,5
36,35.64,15
187,41.58,7
173,65.34,12
62,17.82,15
23,59.4,10
131,17.82,0
96,12.54,16
27,8.36,4
5,11.02,11
62,78.28,17
178,41.58,8
75,17.82,15
31,77.22,10
10,53.46,3
120,47.52,9
25,5.94,4
