Duration,Franchise,Cluster
117,59.4,12
177,77.22,7
131,29.7,8
41,17.82,15
45,12.54,4
13,14.44,11
16,74.1,3
146,9.57,0
59,29.7,15
42,18.24,15
39,49.4,5
38,55.48,5
57,29.7,15
25,83.16,3
30,47.52,18
3,17.55,11
13,31.2,1
39,18.85,15
24,16.25,4
9,23.4,11
55,31.2,15
55,16.25,15
72,16.9,15
129,23.4,0
26,20.15,1
100,43.55,9
44,16.9,15
107,16.25,0
1,16.25,11
10,16.9,11
5,16.25,11
12,16.9,11
9,16.9,11
18,16.25,4
18,26.0,1
113,19.14,0
167,49.4,8
81,77.22,17
135,29.7,8
27,68.9,10
20,16.25,4
25,37.7,18
2,16.25,11
159,21.45,14
31,30.55,1
176,35.64,8
107,32.68,9
7,16.9,11
8,16.9,11
49,11.88,16
140,71.28,12
79,8.36,16
14,10.64,4
81,60.04,5
106,49.4,9
130,9.57,16
41,100.98,17
74,17.82,15
48,5.94,16
160,83.16,12
43,41.58,15
116,5.94,16
40,53.46,5
62,43.55,5
24,30.55,1
210,53.46,7
50,35.64,15
145,77.22,12
21,12.54,4
58,32.68,15
42,49.4,5
141,41.58,8
162,17.82,14
160,41.58,8
86,17.82,0
23,83.16,3
47,35.64,15
5,20.8,11
6,20.8,11
108,10.5,16
163,23.76,14
32,50.7,18
80,9.57,16
63,9.57,16
105,9.57,16
192,19.14,14
87,47.52,5
25,10.64,4
24,72.8,3
129,53.46,9
119,35.64,9
99,53.46,9
27,60.04,10
0,17.55,11
9,20.15,11
242,9.57,6
62,5.94,16
150,53.46,12
56,41.42,5
60,16.9,15
123,9.57,16
155,29.7,8
88,35.64,9
139,17.82,0
117,5.94,16
209,10.64,6
8,18.85,11
4,18.85,11
209,9.57,6
39,83.16,10
158,35.64,8
136,41.58,8
140,29.7,8
161,41.58,8
33,55.25,18
6,16.25,11
93,65.34,17
36,100.98,17
46,5.94,16
5,28.6,11
78,9.57,16
77,35.64,9
31,124.74,3
82,47.52,5
12,45.5,3
3,16.25,11
27,23.4,1
10,21.45,11
40,42.18,15
120,5.94,16
45,28.5,15
114,54.6,9
15,28.6,1
3,16.9,11
135,9.57,0
203,11.88,6
121,41.58,9
149,53.46,12
42,29.7,15
8,38.35,1
106,9.57,16
40,29.7,15
151,29.7,8
116,41.58,9
33,83.16,10
32,23.4,1
22,36.4,1
223,9.57,6
20,77.22,3
155,11.88,0
155,5.94,0
232,29.7,7
242,59.4,7
130,47.52,9
122,23.76,0
80,83.16,17
4,29.7,11
147,40.95,8
44,9.57,16
61,9.57,16
20,10.64,4
53,14.44,15
53,18.62,15
50,18.62,15
8,26.0,11
4,16.25,11
31,23.4,1
11,16.9,11
206,9.57,6
99,9.57,16
57,9.57,16
126,59.4,12
23,10.64,4
79,12.54,16
47,41.42,15
24,100.98,3
83,35.64,9
91,36.86,9
20,41.42,18
48,9.57,16
86,47.52,5
128,29.7,8
100,65.34,17
74,35.64,15
80,35.64,9
97,53.46,9
75,41.42,5
68,53.46,5
222,11.88,6
143,29.7,8
126,17.82,0
134,65.34,12
122,41.58,9
71,5.94,16
13,18.62,11
36,40.95,15
69,9.57,16
36,5.94,4
138,47.52,8
53,11.88,16
48,22.04,15
110,53.46,9
127,124.74,13
94,41.58,9
101,71.28,17
175,65.34,7
8,25.84,11
123,95.04,17
104,59.4,9
91,23.76,9
38,83.16,10
135,17.82,0
26,83.16,3
91,23.18,0
70,8.36,16
11,28.5,11
24,25.84,1
132,17.82,0
83,5.94,16
21,89.1,3
17,38.51,1
109,47.52,9
60,65.34,5
54,77.22,17
27,22.04,1
48,15.96,15
49,18.24,15
24,106.92,3
98,29.7,9
67,8.36,16
30,12.54,4
112,35.64,9
112,118.8,13
81,10.64,16
115,49.4,9
78,16.25,15
111,41.58,9
21,71.28,3
10,32.68,1
60,10.5,16
67,10.5,16
94,10.5,16
63,10.5,16
98,10.5,16
74,10.5,16
112,10.5,16
119,10.5,16
84,10.5,16
70,10.5,16
27,106.92,3
82,23.76,15
84,77.22,17
28,80.44,10
86,35.64,9
115,41.58,9
217,95.04,2
78,47.52,5
115,65.34,12
79,59.4,5
93,124.74,13
196,49.4,7
47,65.34,5
118,95.04,17
99,36.1,9
50,20.96,15
8,16.25,11
33,61.91,10
13,38.51,1
19,57.04,3
95,10.5,16
71,10.5,16
81,10.5,16
102,10.5,16
64,10.5,16
75,11.88,16
159,23.76,14
163,47.52,8
7,28.5,11
15,36.56,1
2,22.91,11
10,16.25,11
12,20.96,11
72,10.5,16
55,10.5,16
30,49.4,18
103,17.82,0
12,36.1,1
25,65.33,10
18,65.33,3
116,28.5,9
12,30.71,1
9,20.96,11
40,59.4,5
56,65.34,5
19,77.22,3
29,28.5,1
106,59.4,9
91,11.88,16
83,53.46,5
136,11.88,0
34,12.54,4
83,77.22,17
89,11.88,16
129,35.64,8
8,19.01,11
22,32.18,1
7,16.25,11
83,9.57,16
55,11.88,16
85,35.64,9
217,11.88,6
82,53.46,5
30,9.57,4
73,100.98,17
178,23.76,14
80,17.82,15
113,11.88,16
97,11.88,16
66,28.5,15
7,47.29,3
13,47.29,3
5,20.96,11
137,9.57,0
81,9.57,16
56,49.4,5
87,77.22,17
115,23.76,0
107,41.42,9
4,20.96,11
22,65.33,3
27,30.71,1
22,9.57,4
80,47.52,5
84,112.86,13
86,89.1,17
25,20.96,1
65,49.24,5
9,30.71,1
16,9.57,4
78,17.82,15
91,47.52,9
60,41.58,5
79,17.82,15
8,22.91,11
60,77.22,17
76,53.46,5
45,77.22,10
93,83.16,17
86,5.94,16
98,10.64,16
12,25.84,11
52,47.29,5
41,24.09,15
24,9.57,4
167,9.57,14
110,23.76,0
70,17.82,15
72,59.4,5
10,28.5,11
7,18.62,11
26,9.57,4
76,59.4,5
33,5.94,4
99,118.8,13
29,52.65,18
93,41.58,9
79,35.64,9
3,25.84,11
12,18.24,11
58,9.57,16
88,29.7,9
1,22.91,11
134,59.4,12
66,35.64,15
62,53.46,5
67,59.4,5
141,17.82,0
67,5.94,16
14,42.9,18
28,16.25,4
90,23.76,9
245,29.7,7
17,27.36,1
68,28.5,15
217,23.76,14
46,77.22,10
9,16.25,11
212,83.16,2
96,71.28,17
74,35.59,15
141,77.22,12
88,95.04,17
30,10.5,4
30,22.75,1
78,10.5,16
33,10.5,4
57,10.5,16
43,10.5,16
62,10.5,16
92,10.5,16
47,10.5,16
36,10.5,4
40,10.5,16
62,71.28,17
13,10.64,4
14,14.44,11
15,30.71,1
69,89.1,17
88,71.28,17
80,71.28,17
93,5.94,16
133,17.82,0
85,36.1,9
41,42.18,15
64,65.34,5
43,71.28,10
69,95.04,17
13,40.95,18
58,10.5,16
39,10.5,4
60,71.28,17
82,59.4,5
0,22.91,11
12,19.01,11
80,10.5,16
38,10.5,4
89,53.46,5
115,53.46,9
52,65.34,5
76,23.18,15
45,42.18,5
29,19.14,1
59,5.94,16
65,5.94,16
27,59.4,10
167,5.94,14
90,5.94,16
82,100.98,17
77,83.16,17
4,40.95,1
11,32.18,1
14,55.09,3
36,124.74,13
32,71.28,10
147,5.94,0
81,59.4,5
5,28.28,11
21,28.76,1
62,47.52,5
12,27.36,11
55,42.18,5
70,53.46,5
84,95.04,17
236,23.76,7
106,17.82,0
11,10.64,11
175,25.84,14
68,11.88,16
165,29.7,8
32,65.34,10
6,32.68,1
11,42.18,18
42,28.6,15
6,19.99,11
7,17.23,11
9,17.23,11
32,10.5,4
56,10.5,16
22,10.5,4
77,10.5,16
25,36.1,1
76,95.04,17
73,77.22,17
18,42.18,18
114,9.57,16
123,23.76,0
235,47.52,7
12,16.25,11
76,29.7,15
17,56.23,3
16,43.55,18
27,17.23,4
16,42.18,18
12,32.68,1
198,95.04,2
55,5.94,16
74,65.34,5
119,5.94,16
35,41.42,18
35,14.44,4
8,32.68,1
44,38.02,15
2,17.23,11
81,24.38,15
11,32.68,1
149,65.34,12
69,65.34,5
167,77.22,12
189,77.22,7
78,41.58,5
66,65.34,5
87,11.88,16
41,12.54,4
36,36.1,15
14,17.23,11
59,17.23,15
21,17.23,1
7,18.85,11
76,55.48,5
166,41.58,8
122,53.46,9
64,106.92,17
20,8.36,4
21,35.34,1
91,9.57,16
236,53.46,7
235,11.88,6
60,27.36,15
17,36.73,1
14,10.5,4
59,10.5,16
66,10.5,16
28,10.5,4
31,10.5,4
52,10.5,16
21,10.5,4
24,10.5,4
17,10.5,4
72,53.46,5
76,112.86,13
69,106.92,17
18,27.3,1
5,27.3,11
7,31.53,1
88,9.57,16
34,28.5,15
143,59.4,12
59,83.16,17
30,77.22,10
43,112.86,17
53,47.52,5
36,22.04,15
32,18.24,1
24,11.02,4
53,28.6,15
21,49.73,18
3,17.23,11
23,100.98,3
225,35.64,7
31,38.02,18
19,26.0,1
33,11.88,4
28,50.7,18
34,16.25,4
46,71.28,10
27,43.55,18
192,65.34,7
117,47.52,9
227,17.82,14
26,31.53,1
4,20.15,11
7,20.15,11
50,19.14,15
53,83.16,17
64,71.28,17
52,5.94,16
69,11.88,16
13,17.23,11
17,16.25,4
12,17.23,11
11,23.73,11
53,10.5,16
15,10.5,4
10,10.5,11
7,10.5,11
100,5.94,16
128,89.1,2
61,100.98,17
185,53.46,7
187,65.34,7
67,11.88,16
47,9.57,16
173,41.58,8
23,28.5,1
5,10.5,11
12,10.5,11
155,59.4,12
106,23.76,0
61,49.4,5
28,65.34,10
105,35.64,9
188,29.7,14
192,23.76,14
226,41.58,7
49,5.94,16
20,83.16,3
21,14.44,4
63,59.4,5
165,47.52,8
222,83.16,2
52,60.04,5
4,10.5,11
26,32.68,1
105,41.58,9
9,25.84,11
11,10.5,11
46,49.4,5
11,8.36,11
31,41.42,18
37,25.84,15
50,10.5,16
127,11.88,0
162,41.42,8
9,35.59,1
5,27.36,11
53,100.98,17
16,26.98,1
109,95.04,17
86,112.86,13
92,29.7,9
96,47.52,9
50,71.28,10
6,20.15,11
145,25.68,8
30,17.23,4
17,18.85,1
45,17.23,15
67,43.55,5
53,16.25,15
10,20.15,11
70,49.4,5
6,17.23,11
20,17.23,1
29,30.55,1
47,24.38,15
48,17.23,15
30,30.55,1
8,10.5,11
18,10.5,4
23,10.5,4
188,11.88,14
54,49.4,5
10,23.73,11
5,18.85,11
64,20.15,15
123,20.15,0
122,20.15,0
41,32.83,15
42,30.55,15
135,17.23,0
22,17.23,1
52,26.98,15
10,25.68,11
179,65.34,7
41,89.1,10
94,11.88,16
11,11.02,11
27,23.73,1
44,16.25,4
12,25.68,11
182,49.4,7
46,59.4,5
218,36.1,7
22,16.25,4
26,16.25,4
44,24.38,15
99,35.64,9
24,18.85,1
29,10.5,4
20,10.5,4
14,9.57,4
35,71.28,10
31,65.34,10
71,10.64,16
36,32.83,15
17,63.7,3
5,20.15,11
185,23.76,14
44,89.1,10
52,26.6,15
8,32.83,1
116,11.88,0
107,65.34,17
31,49.73,18
12,23.73,11
24,50.7,18
12,43.55,18
32,17.23,4
88,41.58,9
38,89.1,10
8,17.23,11
43,83.16,10
104,23.76,0
48,18.85,15
21,23.73,1
19,16.25,4
92,16.25,0
34,30.55,15
33,36.1,15
17,27.3,1
24,17.23,1
2,11.02,11
87,23.76,9
93,28.6,9
1,17.23,11
16,24.38,1
17,24.38,1
134,25.68,0
34,17.23,4
182,41.58,7
4,26.0,11
22,49.73,18
29,32.83,1
18,49.73,18
9,23.73,11
23,41.27,18
22,50.7,18
10,17.23,11
15,24.38,1
76,60.04,5
180,89.1,2
197,53.46,7
22,65.34,3
107,29.7,9
14,23.73,1
24,41.27,18
15,25.68,1
19,26.98,1
9,20.28,11
39,100.98,17
9,10.5,11
3,10.5,11
13,10.5,4
7,27.56,11
9,47.29,3
31,42.18,18
92,11.88,16
101,16.25,0
6,10.5,11
145,59.4,12
29,17.23,4
133,11.88,0
74,28.5,15
8,20.28,11
29,77.22,10
244,71.28,7
126,53.46,9
33,106.92,3
75,53.46,5
28,32.68,1
30,95.04,3
77,11.88,16
82,77.22,17
35,124.74,3
33,22.04,1
104,41.42,9
16,71.28,3
30,112.86,3
28,100.98,3
45,35.64,15
28,12.54,4
4,30.16,11
7,32.68,1
28,24.44,1
186,53.46,7
98,11.88,16
13,28.5,1
14,89.96,3
14,20.96,11
37,9.57,4
36,32.68,15
28,71.28,10
26,112.86,3
19,71.28,3
107,11.88,16
17,23.18,1
26,95.04,3
189,29.7,14
15,14.44,4
25,10.5,4
55,9.57,16
45,19.14,15
139,23.76,0
181,29.7,14
21,100.98,3
75,18.62,15
183,59.4,7
64,5.94,16
21,106.92,3
48,12.54,16
103,41.58,9
9,22.36,11
16,10.5,4
95,9.57,16
68,47.52,5
25,49.4,18
3,18.85,11
14,16.25,11
2,17.55,11
50,23.73,15
16,20.48,1
19,49.4,18
64,53.46,5
84,83.16,17
13,38.02,1
9,18.85,11
13,32.83,1
12,21.45,11
14,32.68,1
8,11.02,11
7,23.73,11
24,43.55,18
15,43.55,18
20,24.38,1
33,18.85,1
20,26.98,1
110,25.68,0
18,43.55,18
47,49.4,5
24,27.3,1
37,27.3,15
22,95.04,3
71,77.22,17
7,8.36,11
15,10.64,4
11,31.53,1
9,31.53,1
13,31.53,1
7,34.13,1
13,21.45,11
18,22.1,1
23,28.6,1
10,12.54,11
95,28.5,9
11,16.25,11
18,28.6,1
14,38.02,1
11,17.23,11
19,41.27,18
14,36.73,1
12,20.48,11
68,16.25,15
12,28.28,1
76,32.83,15
28,20.15,1
8,24.38,11
91,17.82,0
168,11.88,14
13,20.48,11
11,20.48,11
10,24.38,11
6,34.13,1
126,17.23,0
42,23.73,15
18,39.33,18
18,21.45,1
32,23.73,1
4,27.3,11
54,55.86,5
176,53.46,7
204,53.46,7
211,41.58,7
12,28.6,1
39,21.45,15
9,25.68,11
156,41.27,8
100,35.64,9
73,71.28,17
111,32.83,9
177,59.4,7
245,17.82,7
61,43.55,5
154,73.45,12
113,41.58,9
46,22.04,15
57,14.44,15
103,38.02,9
87,38.02,9
130,23.73,0
137,43.55,8
193,71.83,7
11,24.38,11
28,18.85,1
15,27.3,1
11,21.45,11
32,28.5,1
11,38.02,1
6,26.0,11
192,17.23,14
106,36.4,9
126,39.33,9
122,32.83,9
148,50.49,8
42,9.57,16
214,95.04,2
153,23.76,0
163,59.4,12
161,23.76,14
156,18.62,0
44,77.22,10
85,5.94,16
9,30.16,11
180,47.52,7
58,77.22,17
154,47.52,8
